"ranking","lasso_variable","coefficient","sd","variable_forest","MSE_increase","sd"
1,"CocCD4_CD8_S52",219.237935843526,47.7205550789551,"DeltaCD4W52atleast150",18.8700337976341,0.727897343181548
2,"DeltaCD4W52atleast150",51.3394605982214,6.62036756058194,"DeltaCD4_S8",6.2308142016511,0.64722351817918
3,"CD4TCabove350_W052",42.4799531479006,10.1623966113966,"CD4_S39",4.96514586112796,0.783212554400814
4,"CD4TCabove200_W052",18.3492883000492,5.37052134640714,"CD4_S0",4.78447425653025,0.627897864239636
5,"CocCD4_CD8_S24",8.03795991684574,15.6017148987809,"CD4TCabove200_W052",4.26322895808303,0.512365275589294
6,"CocCD4_CD8_S39",6.67086023949978,8.8766050030838,"DeltaCD4_S12",3.76983514615582,0.909176278167438
7,"LogCV_S0",5.17164047595756,3.34349290954423,"CD4_S12",3.669850112493,1.00064222335257
8,"LogCV_S08",2.56139532620195,3.2101620920434,"CD4TCabove350_W052",3.6426929547979,0.577630821563927
9,"CD4porcentajeS52",2.10888591238157,1.01989230473406,"CD4porcentajeS0",2.86496789424988,0.915245773724507
10,"Acido_uricoS24",1.79900612337086,1.59464253481201,"CD4_S24",2.21083751738202,0.823568907641085
11,"LogCV_S12",0.997772809178691,3.15221243309058,"CD8_S0",2.06619630384901,0.844305798106195
12,"TNFalfa_pg_ml_W0",0.63873727824736,0.739732877407871,"CocCD4_CD8_S52",1.93601383547649,0.78227280223244
13,"CD4_S0",-0.611926462666212,0.0896269426218743,"CD8_S52",1.62252822085758,0.761851414217532
14,"CD8porcentajeS0",-0.37608883331781,0.202634432508478,"CD4_S08",1.58799084336393,0.879653723182242
15,"CD4porcentajeS24",0.260385083316373,0.428348053566767,"CocCD4_CD8_S0",1.44605818986904,1.00082456526691
